t,Xx1,Xx2,Xx3,Xy1,Xy2,Xy3,Xt1,Xt2,Xt3,Zx1,Zx2,Zx3,Zy1,Zy2,Zy3,Zt1,Zt2,Zt3,Rx1,Rx2,Rx3,Ry1,Ry2,Ry3,Rt1,Rt2,Rt3,P11,P12,P13,P14,P15,P16,P17,P18,P19,P21,P22,P23,P24,P25,P26,P27,P28,P29,P31,P32,P33,P34,P35,P36,P37,P38,P39,P41,P42,P43,P44,P45,P46,P47,P48,P49,P51,P52,P53,P54,P55,P56,P57,P58,P59,P61,P62,P63,P64,P65,P66,P67,P68,P69,P71,P72,P73,P74,P75,P76,P77,P78,P79,P81,P82,P83,P84,P85,P86,P87,P88,P89,P91,P92,P93,P94,P95,P96,P97,P98,P99
0,-0.6,-0.009927607857177036,-0.39710431428708143,-0.6,-0.0006635789273691584,-0.02654315709476634,-1.3541189209186566,9.257416546586055e-07,0.0006750696398190408,0.0,0.0,-0.40043023228645325,0.0,0.0,-0.02753331884741783,-2.030501670351149,0.0,0.0,0.0,0.0,0.003325917999371819,0.0,0.0,0.000990161752651493,0.6763827494324923,9.257416546586055e-07,0.0,2.0025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,1.2512601952300413,0.00040780920165609663,0.0,2.724104386817726e-06,0.00010896417547270903,8.320026025193502e-10,1.2513339941956091e-07,4.9961756281287e-09,0.0,0.0004078092016560953,0.01631236806624381,0.0,0.00010896417547270903,0.004358567018908361,3.328010410077401e-08,5.005335976782438e-06,1.9984702512514797e-07,0.0,0.0,0.0,2.0025,0.025,0.0,0.0,0.0,0.0,0.0,2.724104386817725e-06,0.000108964175472709,0.025,1.2512553319070712,0.00021327628285093547,-8.208904375273741e-10,-1.234621270267265e-07,-4.9294470773518834e-09,0.0,0.000108964175472709,0.00435856701890836,0.0,0.0002132762828509327,0.008531051314037308,-3.2835617501094955e-08,-4.938485081069058e-06,-1.971778830940753e-07,0.0,8.320026025193502e-10,3.328010410077401e-08,0.0,-8.208904375273746e-10,-3.283561750109498e-08,0.666888851608589,4.144703356565027e-09,-0.00033244609042243177,0.0,1.2513339941956091e-07,5.005335976782436e-06,0.0,-1.234621270267265e-07,-4.938485081069059e-06,4.144703362051092e-09,6.233644212780709e-07,2.4888943667145116e-08,0.0,4.996175628128699e-09,1.9984702512514794e-07,0.0,-4.9294470773518834e-09,-1.9717788309407534e-07,-0.0003324460904224316,2.4888943662981777e-08,1.9980036612270133
1,-0.6004863111821831,-0.02431555910916009,0.05326688780721256,-0.6000287133139677,-0.001435665698384364,0.1698041444879981,-1.776879226770079,2.852384165287207e-06,0.0007558362168479964,0.0,0.0,-0.1538274586200714,0.0,0.0,0.09217676520347595,-2.030501670351149,0.0,0.0,0.0,0.0,0.0005556688375891183,0.0,0.0,0.0036497332520435133,0.2536224435810699,2.852384165287207e-06,0.0,3.0081281500539796,0.04378250269897077,1.8408383907222385e-07,6.644990381663256e-09,3.3224951908316273e-07,-3.613343334001782e-08,1.3137143515644344e-10,-1.0748745531431823e-10,-7.231417797673058e-11,0.04378250269897078,1.3128751349485386,9.204191953611132e-06,3.322495190831628e-07,1.6612475954158135e-05,-1.8066716670008926e-06,6.568571757822175e-09,-5.37437276569079e-09,-3.6157088988340333e-09,1.84083839072219e-07,9.204191953610949e-06,0.010649822419238833,-1.6323302121597874e-09,-8.161651060798874e-08,-0.005520199502052056,1.7189331895325657e-09,-3.7289359343012957e-06,-3.714654233791078e-07,6.644990381663253e-09,3.3224951908316257e-07,-1.6323302121606071e-09,3.0081281381895395,0.043781909476967674,1.1851771959823591e-07,-1.306160396651402e-10,-8.484780005838271e-11,5.284153330136627e-11,3.3224951908316257e-07,1.6612475954158128e-05,-8.161651060791706e-08,0.043781909476967674,1.312845473848384,5.9258859799116255e-06,-6.530801983257009e-09,-4.242390002862949e-09,2.642076665073898e-09,-3.61334333400174e-08,-1.8066716670008693e-06,-0.005520199502052004,1.1851771959823255e-07,5.9258859799116255e-06,0.014014356295260827,-2.0061351027404977e-09,-6.16310335977677e-06,-6.116759605018086e-07,1.3137143515644342e-10,6.5685717578221705e-09,1.7189331895329022e-09,-1.3061603966514028e-10,-6.530801983257014e-09,-2.0061351027425313e-09,0.6250312423931773,-3.60962419368216e-12,-0.0001240375240714714,-1.0748745531436993e-10,-5.374372765718496e-09,-3.7289359343138262e-06,-8.484780005759801e-11,-4.2423900028799e-09,-6.163103359726904e-06,-3.6096241956172907e-12,6.233375956718712e-07,6.196191744906619e-08,-7.231417797672014e-11,-3.615708898836007e-09,-3.714654233787257e-07,5.2841533301419156e-11,2.642076665070958e-09,-6.116759605000537e-07,-0.0001240375240714715,6.196191747187552e-08,2.9880731815160275
2,-0.6017020615045167,-0.00945213490301632,0.0750546173651215,-0.6001005431852181,0.007687691425867953,0.05598857998205255,-1.9338846803851537,-3.101383943676436e-07,0.0007618844608235937,0.0,0.0,-0.06823474913835526,0.0,0.0,0.0628477931022644,-2.030501670351149,0.0,0.0,0.0,0.0,0.0019273283407073016,0.0,0.0,0.0008381688108616975,0.09661698996599521,3.101383943676436e-07,0.0,4.0157885881608255,0.054713161565786796,4.804110277623431e-09,8.140118459558044e-08,5.753705999685392e-07,-3.6637389488821966e-09,1.680242035198035e-10,-3.3233250603539358e-12,-2.2375956200950359e-10,0.0547131615657868,1.3282455130062611,4.405174589802452e-06,5.812636314351729e-07,-9.363515094465557e-06,-6.024812244496438e-06,-2.3130814892936265e-09,-2.1171561609926556e-09,-6.511571628328388e-09,4.8041102776233086e-09,4.4051745898025856e-06,0.0070855217451280305,-1.0084870463403565e-09,-3.5747911001069434e-06,-0.0024061602023841533,-2.0270056592725684e-10,-5.94740177182106e-06,-8.822698999850369e-07,8.14011845955804e-08,5.812636314351728e-07,-1.0084870463403395e-09,4.01578844282169,0.05471211204175939,7.198771969743308e-09,-1.7976209718129465e-10,-1.5463091371960657e-12,2.054022358838261e-10,5.753705999685392e-07,-9.363515094465433e-06,-3.5747911001068998e-06,0.054712112041759395,1.328246148840185,1.2820833006146782e-05,-7.130856475768805e-09,-1.0500934932836585e-09,-6.118465545254307e-09,-3.663738948882115e-09,-6.024812244496382e-06,-0.0024061602023841607,7.198771969743225e-09,1.2820833006146708e-05,0.017578199035598832,-1.877056745418396e-09,-3.829644148637915e-06,-5.703109889501312e-07,1.6802420351977632e-10,-2.3130814893054428e-09,-2.0270056593093625e-10,-1.7976209718129635e-10,-7.130856475722224e-09,-1.8770567454014713e-09,0.6190521532576762,-5.923930910800557e-13,-4.690117407002354e-05,-3.3233250604029208e-12,-2.117156161032782e-09,-5.947401771889318e-06,-1.546309137188074e-12,-1.050093493265545e-09,-3.829644148632044e-06,-5.923930908409997e-13,6.233390604307962e-07,9.24397242414635e-08,-2.237595620094892e-10,-6.511571628266743e-09,-8.82269899989421e-07,2.054022358837389e-10,-6.118465545350839e-09,-5.703109889503673e-07,-4.690117407002314e-05,9.243972426409286e-08,3.9659172393695994
3,-0.6021747219563925,-0.0010338653430873614,-0.07234225447752798,-0.5997160880904708,0.006721524469043933,0.1257627003841883,-1.99361160510973,-7.448029580497733e-07,0.0007560315260079958,0.0,0.0,-0.09277531504631042,0.0,0.0,-0.11372458189725876,-2.030501670351149,0.0,0.0,0.0,0.0,0.0009050388021549782,0.0,0.0,0.0014324137485001442,0.03689006524141902,7.448029580497733e-07,0.0,5.02458051809978,0.06056272974615332,1.6694937710092183e-09,1.1582433853644381e-07,3.8639184147793914e-08,-5.552384692894352e-09,1.7914840839723335e-11,-5.736535828329974e-13,-5.333293960239899e-10,0.060562729746153315,1.3320791725359242,2.4138003980392e-06,4.7696166529177864e-08,-8.448918799534242e-06,-2.410522276211808e-06,-6.111650734515521e-09,-1.9231780343195455e-09,-1.790452210746414e-08,1.6694937710092528e-09,2.4138003980392147e-06,0.00659742541532482,-1.5927897665514264e-09,-1.367167495899055e-06,-0.0006680459689241411,-6.911890769082319e-10,-6.408980855219498e-06,-1.2601743167127221e-06,1.1582433853644406e-07,4.769616652918104e-08,-1.5927897665514597e-09,5.02458026939753,0.060562241578978486,1.1619120323339793e-08,-2.0577629452919128e-10,-6.837118736367635e-13,-9.430437045395862e-11,3.863918414779716e-08,-8.448918799534227e-06,-1.3671674958991474e-06,0.06056224157897849,1.332105353095411,1.5791945158488118e-05,-5.013170160924287e-09,-1.7198799517531552e-09,-1.26254153601336e-08,-5.5523846928943135e-09,-2.4105222762118027e-06,-0.0006680459689241274,1.161912032333978e-08,1.5791945158488135e-05,0.018065455725951696,-1.2375523522889922e-09,-2.855439130106979e-06,-5.638335738982606e-07,1.791484083944845e-11,-6.111650734582914e-09,-6.911890769168455e-10,-2.057762945282855e-10,-5.01317016090955e-09,-1.237552352286028e-09,0.6181824794274223,3.8320209349790784e-13,-1.773130284515374e-05,-5.736535828504723e-13,-1.923178034325538e-09,-6.408980855231683e-06,-6.837118736238082e-13,-1.7198799517193578e-09,-2.85543913009027e-06,3.8320209357185024e-13,6.233398921655863e-07,1.2239461489497078e-07,-5.333293960207247e-10,-1.7904522107314128e-08,-1.2601743167108036e-06,-9.43043704589117e-11,-1.2625415360216466e-08,-5.638335738958802e-07,-1.773130284515316e-05,1.2239461491536652e-07,4.926982036334229
4,-0.6022264150429817,-0.004122342608984058,-0.03293376029735223,-0.5993799852606699,0.009680928654856246,0.16301759588373788,-2.0164117394747287,3.562832370235106e-07,0.0007472306477540567,0.0,0.0,-0.13587094843387604,0.0,0.0,-0.09696516394615173,-2.030501670351149,0.0,0.0,0.0,0.0,0.000722764643186713,0.0,0.0,4.074491192705698e-05,0.014089930876420187,3.562832370235106e-07,0.0,6.033966989005704,0.06358335026028629,7.941964949020773e-10,9.901891491244545e-08,-1.9809242409133593e-07,-2.238115124620398e-09,-1.1171229537731755e-10,-4.866717948098175e-13,-1.399493158996305e-09,0.06358335026028629,1.3330362980613522,2.156653151984533e-06,-1.9082300030721698e-07,-3.835412175604904e-06,-6.045311741204364e-07,-7.280204354882029e-09,-2.0888904234769652e-09,-3.2340954465681896e-08,7.941964949020977e-10,2.156653151984574e-06,0.0065596397089653,-4.3563882084646723e-10,-1.9914359206797945e-07,2.1324951297584785e-05,-7.985405260796139e-10,-6.614043393361323e-06,-1.6125740741586306e-06,9.901891491244605e-08,-1.9082300030721524e-07,-4.3563882084652436e-10,6.033966756937543,0.06358379397105962,1.4246345308115206e-08,-1.7595391355954129e-10,-1.5585776962335578e-12,-7.064523387537616e-10,-1.9809242409133392e-07,-3.83541217560487e-06,-1.991435920679933e-07,0.06358379397105962,1.3330714894079956,1.6202896919157758e-05,-3.6797084717314895e-09,-2.071264924004165e-09,-1.6943320947659175e-08,-2.2381151246204207e-09,-6.045311741204198e-07,2.1324951297561322e-05,1.4246345308115236e-08,1.6202896919157673e-05,0.018105026032919226,-9.813857474856118e-10,-2.5601286999936923e-06,-6.267532285802392e-07,-1.1171229537871557e-10,-7.280204354906668e-09,-7.985405260812398e-10,-1.7595391355888156e-10,-3.67970847171263e-09,-9.81385747479991e-10,0.6180556522462837,7.399451624361479e-13,-6.689106903274359e-06,-4.866717948101786e-13,-2.0888904234875403e-09,-6.61404339336454e-06,-1.558577696233105e-12,-2.0712649240081617e-09,-2.560128700009415e-06,7.399451624725075e-13,6.233388476885495e-07,1.5169412158710283e-07,-1.3994931589856314e-09,-3.2340954465441114e-08,-1.6125740741560798e-06,-7.064523387629553e-10,-1.694332094768812e-08,-6.267532285847613e-07,-6.6891069032737545e-06,1.5169412154181217e-07,5.86703259769552
5,-0.6024325209989871,-0.0036904392975262877,0.02073554396426292,-0.5988960759851935,0.012840049353934551,-0.005685516545686969,-2.025119831970783,-4.362442302175188e-08,0.0007364076304114799,0.0,0.0,-0.0011971008498221636,0.0,0.0,0.02274491637945175,-2.030501670351149,0.0,0.0,0.0,0.0,0.0026098884070187194,0.0,0.0,0.0015837624388745954,0.005381838380365878,4.362442302175188e-08,0.0,7.043657914776874,0.06511758797776024,6.996512923385224e-10,6.998464021480565e-08,-1.965262175652223e-07,-5.46448153748756e-10,-1.8370031008045857e-10,-6.463060760378209e-13,-2.9578946608637334e-09,0.06511758797776025,1.3332754745736408,2.147097283737593e-06,-1.918135969268109e-07,-9.265302039714317e-07,1.0641298517797963e-07,-7.70024286072594e-09,-2.1898519193483427e-09,-4.787144239909039e-08,6.996512923385568e-10,2.147097283737565e-06,0.006567086829538677,1.6232308401469862e-10,2.6126875519585995e-07,0.00028434207611026814,-8.390646040108635e-10,-6.692772417222919e-06,-1.9391548673863883e-06,6.998464021480652e-08,-1.9181359692680917e-07,1.623230840146614e-10,7.0436578150575135,0.06511872471387319,1.465148607598166e-08,-1.3945324668794168e-10,-1.8631704700804753e-12,-1.5163133236936853e-09,-1.9652621756522042e-07,-9.265302039714803e-07,2.612687551957687e-07,0.06511872471387317,1.333313140248452,1.6236075558227865e-05,-3.142469976050625e-09,-2.1471683040870382e-09,-2.098228126100562e-08,-5.464481537487433e-10,1.0641298517797249e-07,0.00028434207611016183,1.4651486075981758e-08,1.6236075558228062e-05,0.018097890238122867,-9.112383772930218e-10,-2.3863590346884527e-06,-6.94503079889448e-07,-1.8370031008147321e-10,-7.700242860733825e-09,-8.390646040113557e-10,-1.39453246687333e-10,-3.142469976061706e-09,-9.112383772983297e-10,0.6180371496126028,8.82659472267828e-13,-2.5169220936867624e-06,-6.463060760364012e-13,-2.189851919342836e-09,-6.6927724172157485e-06,-1.8631704700602776e-12,-2.147168304083885e-09,-2.3863590346835835e-06,8.826594722191919e-13,6.233386738982883e-07,1.8021891871908e-07,-2.957894660841272e-09,-4.787144239882061e-08,-1.9391548673818703e-06,-1.5163133237041409e-09,-2.0982281261131108e-08,-6.94503079893808e-07,-2.5169220936873867e-06,1.8021891867725515e-07,6.782221416069303
6,-0.6026170242839902,-0.0007515794992430908,0.18183598037085358,-0.5982538301685355,0.006404541742824332,0.2915308658458592,-2.0284460282294954,1.7473414906307513e-06,0.0007245148997830005,0.0,0.0,-0.3471592366695404,0.0,0.0,0.03411737456917763,-2.030501670351149,0.0,0.0,0.0,0.0,0.005402301451784108,0.0,0.0,0.001333182413514794,0.0020556421216535448,1.7473414906307513e-06,0.0,8.053502862261073,0.06589068622075005,7.071418710611776e-10,4.8251318820662835e-08,-1.2119332563719033e-07,1.2551808457682024e-10,-2.1931816744053306e-10,-7.20325335054288e-13,-5.244034329304473e-09,0.06589068622075005,1.3333352864139767,2.15576491776755e-06,-1.1842426823773033e-07,4.713739172844902e-07,3.776050929758744e-07,-7.856292572001706e-09,-2.1949314982285005e-09,-6.337235639372831e-08,7.0714187106117e-10,2.1557649177675955e-06,0.006570677942044154,3.9654143274601936e-10,4.363534908530996e-07,0.000383994746459586,-8.534314087362391e-10,-6.6086761480662086e-06,-2.208980411284861e-06,4.8251318820663755e-08,-1.1842426823773092e-07,3.9654143274596384e-10,8.053502970378863,0.06589223145775867,1.4691187532213342e-08,-1.1532983074304133e-10,-1.9492810497274316e-12,-2.5048571263867723e-09,-1.2119332563719063e-07,4.7137391728421644e-07,4.3635349085303573e-07,0.06589223145775866,1.333373537180934,1.622974288287402e-05,-2.8746439506130934e-09,-2.1516220184026017e-09,-2.4845364209362313e-08,1.2551808457680312e-10,3.776050929757861e-07,0.0003839947464595601,1.469118753221341e-08,1.6229742882873923e-05,0.0180918272650328,-8.642118352869523e-10,-2.2960598059361375e-06,-7.710007040863944e-07,-2.1931816744106584e-10,-7.856292571996368e-09,-8.534314087352404e-10,-1.1532983074301713e-10,-2.874643950610712e-09,-8.642118352853509e-10,0.6180344501403441,9.19010703239145e-13,-9.43948850770646e-07,-7.203253350543002e-13,-2.19493149822852e-09,-6.608676148067631e-06,-1.94928104973071e-12,-2.1516220184008547e-09,-2.2960598059382124e-06,9.190107032459084e-13,6.233402217068602e-07,2.078630919521795e-07,-5.244034329269168e-09,-6.337235639343456e-08,-2.2089804112846943e-06,-2.504857126403249e-09,-2.484536420967352e-08,-7.710007040864369e-07,-9.439488507716664e-07,2.0786309196108022e-07,7.669142442335175
7,-0.6026546176085429,0.00867715942619137,0.07047571625414349,-0.5979337077793031,0.017663717243468068,0.16549710620616598,-2.029716432235418,-1.031484860576958e-06,0.0007103114873860201,0.0,0.0,-0.17717091739177704,0.0,0.0,-0.009576806798577309,-2.030501670351149,0.0,0.0,0.0,0.0,0.0024345392341864613,0.0,0.0,0.00032361696106589753,0.0007852381157307242,1.031484860576958e-06,0.0,9.06342526909917,0.06627873065984896,7.167664579695727e-10,3.74488564620861e-08,-4.788076406170893e-08,3.824146031308986e-10,-2.359092614988209e-10,-7.737599921501466e-13,-8.233797102130916e-09,0.06627873065984895,1.333350248504344,2.1617477219922527e-06,-4.633954436567828e-08,1.0750236253360075e-06,4.803977103274882e-07,-7.80642253394375e-09,-2.268076880433801e-09,-7.763980782061071e-08,7.167664579695659e-10,2.1617477219922544e-06,0.006577323612834795,4.854956146323735e-10,5.028675817566158e-07,0.000421908375069583,-8.449656877044543e-10,-6.800407220671546e-06,-2.5647815863148437e-06,3.744885646208629e-08,-4.633954436568558e-08,4.854956146323116e-10,9.063425627366934,0.06628049473942245,1.4687745353191631e-08,-1.010068105984616e-10,-1.9133898455255734e-12,-3.6564703435108405e-09,-4.788076406171615e-08,1.0750236253358722e-06,5.028675817566201e-07,0.06628049473942242,1.3333886213136497,1.6223919876947868e-05,-2.7373628052236346e-09,-2.0790518520170426e-09,-2.869387490659251e-08,3.8241460313082304e-10,4.803977103274305e-07,0.0004219083750695489,1.4687745353191524e-08,1.6223919876948028e-05,0.018088440338586257,-8.371130749148956e-10,-2.175345283082658e-06,-8.246070070078739e-07,-2.359092614989226e-10,-7.806422533944057e-09,-8.449656877046532e-10,-1.0100681059840524e-10,-2.737362805225079e-09,-8.371130749156512e-10,0.6180340562931982,9.418305414297082e-13,-3.5211769596319394e-07,-7.737599921413797e-13,-2.2680768804219097e-09,-6.800407220645467e-06,-1.913389845518622e-12,-2.0790518520328306e-09,-2.175345283098804e-06,9.418305414085711e-13,6.23338192886418e-07,2.34533879732162e-07,-8.233797102081862e-09,-7.763980782044383e-08,-2.5647815863150377e-06,-3.6564703435422816e-09,-2.8693874906727338e-08,-8.24607007006114e-07,-3.5211769596340957e-07,2.3453387976157813e-07,8.524869241365979
8,-0.6022207699061642,0.007831990882779893,-0.02124791739071412,-0.597050536270736,0.01709148946369288,0.15064322594303442,-2.0302017433149833,-6.500463228898689e-07,0.0006955378139026076,0.0,0.0,-0.12509703636169434,0.0,0.0,-0.08619125932455063,-2.030501670351149,0.0,0.0,0.0,0.0,0.0005469268713683417,0.0,0.0,0.0004097438711379159,0.0002999270361656592,6.500463228898689e-07,0.0,10.073386517786403,0.06647312694681487,7.212922118066071e-10,3.542537798281543e-08,4.131630141492777e-09,4.799664945119571e-10,-2.4136435478738164e-10,-7.807626281922187e-13,-1.1839336394862633e-08,0.06647312694681486,1.3333540056478512,2.164833600493923e-06,4.962142033962727e-09,1.3226227799092278e-06,5.198436228771966e-07,-7.979253334543753e-09,-2.2510593078082132e-09,-9.295933171734512e-08,7.212922118066186e-10,2.164833600493893e-06,0.0065767232398327834,5.19714866789765e-10,5.286953272640912e-07,0.0004370025955819472,-8.685172116938936e-10,-6.72523550846917e-06,-2.8140562858377884e-06,3.542537798281456e-08,4.962142033955699e-09,5.197148667897565e-10,10.073387148393504,0.0664750034691279,1.4683824960464825e-08,-9.284544268993664e-11,-1.982287108125545e-12,-4.9633518049320205e-09,4.131630141485638e-09,1.3226227799091099e-06,5.286953272641319e-07,0.06647500346912788,1.3333923838156339,1.6221450365218425e-05,-2.5963983011050324e-09,-2.1435243887184706e-09,-3.206489370048343e-08,4.799664945119176e-10,5.198436228771713e-07,0.00043700259558202215,1.468382496046529e-08,1.6221450365218523e-05,0.018087832570786066,-7.993429881731512e-10,-2.2351494455758732e-06,-9.395828774336164e-07,-2.4136435478741504e-10,-7.979253334518956e-09,-8.68517211690748e-10,-9.284544268995738e-11,-2.59639830112063e-09,-7.993429881784558e-10,0.6180339988316845,9.612388846307033e-13,-1.2978868592234696e-07,-7.807626281942613e-13,-2.2510593078306315e-09,-6.725235508531914e-06,-1.982287108111441e-12,-2.143524388701146e-09,-2.2351494455417022e-06,9.612388846233536e-13,6.233389478651303e-07,2.6015789388744944e-07,-1.183933639480656e-08,-9.295933171755385e-08,-2.8140562858638233e-06,-4.96335180496924e-09,-3.2064893700289914e-08,-9.395828774188439e-07,-1.2978868592187751e-07,2.601578938388194e-07,9.34697706206109
9,-0.6018291651901497,0.002870763990120717,0.032858578328868855,-0.5961959817638058,0.016055429815224728,0.1242632424260562,-2.030387126641243,3.0310028985571863e-07,0.0006798881495318243,0.0,0.0,-0.1256955862045288,0.0,0.0,-0.02513911761343479,-2.030501670351149,0.0,0.0,0.0,0.0,0.00025360381288860867,0.0,0.0,0.0005093857192791026,0.00011454370990593432,3.0310028985571863e-07,0.0,11.083367215495192,0.06657041902671625,7.233959192737381e-10,3.918659962942183e-08,3.642939328447443e-08,5.174456517026023e-10,-2.4673269578151036e-10,-7.869839718302821e-13,-1.6085173968130174e-08,0.06657041902671625,1.333354943573851,2.1651826887425937e-06,3.6868204673314644e-08,1.4229655998326633e-06,5.355211100578052e-07,-7.941178786708002e-09,-2.2510362530180154e-09,-1.0649385773087196e-07,7.233959192736799e-10,2.165182688742526e-06,0.006576951650124331,5.332443196127241e-10,5.39134936508283e-07,0.00044316253642348857,-8.599895672865211e-10,-6.717116796078686e-06,-3.0756657151739885e-06,3.918659962941996e-08,3.686820467330827e-08,5.332443196127413e-10,11.083368129699299,0.06657235189025135,1.4682271118421808e-08,-8.709775277753641e-11,-2.0335585855288864e-12,-6.392302921484074e-09,3.642939328446785e-08,1.4229655998328174e-06,5.391349365082516e-07,0.06657235189025133,1.3333933228224584,1.622132997464817e-05,-2.62542081881945e-09,-2.1957764975802107e-09,-3.642773713777037e-08,5.174456517025808e-10,5.355211100579411e-07,0.00044316253642347463,1.468227111842174e-08,1.6221329974647927e-05,0.018087813405564524,-8.195323150488207e-10,-2.288098669076837e-06,-1.0526927465746492e-06,-2.467326957810708e-10,-7.941178786762957e-09,-8.599895672940936e-10,-8.709775277782593e-11,-2.6254208187902816e-09,-8.195323150378055e-10,0.6180339904481637,9.57969544162911e-13,-4.630588350585979e-08,-7.869839718309958e-13,-2.2510362530044446e-09,-6.717116796023691e-06,-2.0335585855085922e-12,-2.195776497562162e-09,-2.2880986690676e-06,9.579695441417318e-13,6.233388183087139e-07,2.8467384234049055e-07,-1.6085173968085328e-08,-1.0649385773151762e-07,-3.0756657151490506e-06,-6.392302921511195e-09,-3.6427737137353446e-08,-1.0526927465813418e-06,-4.630588350659213e-08,2.846738423878392e-07,10.13354941730986
