t,Xx1,Xx2,Xx3,Xy1,Xy2,Xy3,Xt1,Xt2,Xt3,Zx1,Zx2,Zx3,Zy1,Zy2,Zy3,Zt1,Zt2,Zt3,Rx1,Rx2,Rx3,Ry1,Ry2,Ry3,Rt1,Rt2,Rt3,P11,P12,P13,P14,P15,P16,P17,P18,P19,P21,P22,P23,P24,P25,P26,P27,P28,P29,P31,P32,P33,P34,P35,P36,P37,P38,P39,P41,P42,P43,P44,P45,P46,P47,P48,P49,P51,P52,P53,P54,P55,P56,P57,P58,P59,P61,P62,P63,P64,P65,P66,P67,P68,P69,P71,P72,P73,P74,P75,P76,P77,P78,P79,P81,P82,P83,P84,P85,P86,P87,P88,P89,P91,P92,P93,P94,P95,P96,P97,P98,P99
0,-0.6,-1.9951680830369393e-05,-0.0007980672332147757,-0.6,-1.9951680830369393e-05,-0.0007980672332147757,-1.3541688370223868,-0.007506468738388037,0.000375323436919402,0.0,0.0,-0.0011971008498221636,0.0,0.0,-0.0011971008498221636,-2.030501670351149,0.0,0.0,0.0,0.0,0.0003990336166073879,0.0,0.0,0.0003990336166073879,0.6763328333287622,0.007506468738388037,0.0,2.0025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,1.2516666666666667,0.01666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01666666666666667,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,1.2516666666666667,0.01666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01666666666666667,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6669134316881408,0.0036968542542936654,-0.00018484271271468328,0.0,0.0,0.0,0.0,0.0,0.0,0.003696854254293668,0.5560078040593308,0.022199609797033462,0.0,0.0,0.0,0.0,0.0,0.0,-0.00018484271271468323,0.02219960979703346,1.9988900195101482
1,-0.6001299867930079,-0.0064993396503968655,-0.2587764851660524,-0.5999180659361175,0.004096703194121331,0.1650652286146754,-1.7771868454585042,-0.003606131283138719,0.0005414126681291182,0.0,0.0,-0.41356353592575507,0.0,0.0,0.2645832061234095,-2.030501670351149,0.0,0.0,0.0,0.0,0.15478705075970267,0.0,0.0,0.09951797750873412,0.2533148248926447,0.003606131283138719,0.0,3.0081289062500005,0.0438203125,0.00031250000000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.04382031250000001,1.314765625,0.015625000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.00031250000000000017,0.015625000000000007,0.6250000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0081289062500005,0.0438203125,0.00031250000000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.04382031250000001,1.314765625,0.015625000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.00031250000000000017,0.015625000000000007,0.6250000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6252656167456453,0.002759246198071532,4.028235554034146e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.002759246198071534,0.5338029400951694,0.05176597623474851,0.0,0.0,0.0,0.0,0.0,0.0,4.028235554034119e-05,0.0517659762347485,2.993141665344541
2,-0.6004042409284477,-0.014377320973499757,-0.1834316837899984,-0.5996946150891067,0.010966459002964573,0.1927228211817531,-1.9341298791769754,-0.0014964654505576272,0.0005507812448073354,0.0,0.0,-0.1370656521739652,0.0,0.0,0.2097428781461086,-2.030501670351149,0.0,0.0,0.0,0.0,0.0463660316160332,0.0,0.0,0.01702005696435549,0.0963717911741735,0.0014964654505576272,0.0,4.015797395833333,0.05481770833333333,0.00041666666666666686,0.0,0.0,0.0,0.0,0.0,0.0,0.05481770833333334,1.330453869047619,0.014880952380952384,0.0,0.0,0.0,0.0,0.0,0.0,0.00041666666666666686,0.014880952380952385,0.6190476190476191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.015797395833333,0.05481770833333333,0.00041666666666666686,0.0,0.0,0.0,0.0,0.0,0.0,0.05481770833333334,1.330453869047619,0.014880952380952384,0.0,0.0,0.0,0.0,0.0,0.0,0.00041666666666666686,0.014880952380952385,0.6190476190476191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6193047638488097,0.002638487760729694,0.0005375279983534933,0.0,0.0,0.0,0.0,0.0,0.0,0.002638487760729693,0.5334597685683896,0.08188957005005536,0.0,0.0,0.0,0.0,0.0,0.0,0.0005375279983534931,0.08188957005005534,3.9787653514363264
3,-0.6010465765416703,-0.013828853349745053,-0.07668153792809285,-0.5992210941186493,0.012645151232332428,0.08838364951034171,-1.9937564020835123,-0.0005903553915123592,0.0005221931767489253,0.0,0.0,-0.010747624307504113,0.0,0.0,0.023938867007411126,-2.030501670351149,0.0,0.0,0.0,0.0,0.06593391362058873,0.0,0.0,0.06444478250293058,0.03674526826763658,0.0005903553915123592,0.0,5.024604786931818,0.060711221590909095,0.00044318181818181837,0.0,0.0,0.0,0.0,0.0,0.0,0.060711221590909095,1.3343423295454544,0.01465909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.00044318181818181837,0.01465909090909091,0.6181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.024604786931818,0.060711221590909095,0.00044318181818181837,0.0,0.0,0.0,0.0,0.0,0.0,0.060711221590909095,1.3343423295454544,0.01465909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.00044318181818181837,0.01465909090909091,0.6181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6184369804895263,0.0026452645267284365,0.0011328482572610966,0.0,0.0,0.0,0.0,0.0,0.0,0.0026452645267284348,0.5343036084490663,0.11170041910608877,0.0,0.0,0.0,0.0,0.0,0.0,0.0011328482572610958,0.11170041910608874,4.951965066564319
4,-0.6017317477978121,-0.010544606960870232,-0.06805304541042634,-0.5985542292189941,0.011866914540955382,0.13599799672470858,-2.0164869471169817,-0.00022287039029840906,0.0004956737763692853,0.0,0.0,-0.0627208309332167,0.0,0.0,0.16542259331785666,-2.030501670351149,0.0,0.0,0.0,0.0,0.005332214477209635,0.0,0.0,0.029424596593148084,0.014014723234167192,0.00022287039029840906,0.0,6.0340112365722645,0.06375579833984374,0.0004492187500000002,0.0,0.0,0.0,0.0,0.0,0.0,0.06375579833984375,1.3353055148654513,0.014605034722222226,0.0,0.0,0.0,0.0,0.0,0.0,0.00044921875000000024,0.014605034722222226,0.6180555555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0340112365722645,0.06375579833984374,0.0004492187500000002,0.0,0.0,0.0,0.0,0.0,0.0,0.06375579833984375,1.3353055148654513,0.014605034722222226,0.0,0.0,0.0,0.0,0.0,0.0,0.00044921875000000024,0.014605034722222226,0.6180555555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6183107719790326,0.00266390003108256,0.0017557819439886209,0.0,0.0,0.0,0.0,0.0,0.0,0.002663900031082557,0.5351982240715638,0.14102548871795978,0.0,0.0,0.0,0.0,0.0,0.0,0.0017557819439886187,0.14102548871795978,5.90915930367231
5,-0.6022550032042524,-0.00854619982285402,-0.06260002524608893,-0.5979466452505938,0.013194560858344802,0.15553071568049284,-2.025156169714988,-7.77723455203795e-05,0.0004770580513607785,0.0,0.0,-0.05922991836340831,0.0,0.0,0.16760243898363847,-2.030501670351149,0.0,0.0,0.0,0.0,0.0033701068826806208,0.0,0.0,0.012071723303145626,0.005345500636161127,7.77723455203795e-05,0.0,7.043724548825534,0.06530229854836704,0.0004505139257294431,0.0,0.0,0.0,0.0,0.0,0.0,0.06530229854836704,1.3355442393173906,0.014593003978779846,0.0,0.0,0.0,0.0,0.0,0.0,0.00045051392572944307,0.014593003978779842,0.6180371352785146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.043724548825534,0.06530229854836704,0.0004505139257294431,0.0,0.0,0.0,0.0,0.0,0.0,0.06530229854836704,1.3355442393173906,0.014593003978779846,0.0,0.0,0.0,0.0,0.0,0.0,0.00045051392572944307,0.014593003978779842,0.6180371352785146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.618292732893739,0.002683087535722439,0.002379785972804047,0.0,0.0,0.0,0.0,0.0,0.0,0.0026830875357224376,0.536078286059307,0.16975812871989315,0.0,0.0,0.0,0.0,0.0,0.0,0.0023797859728040454,0.16975812871989315,6.847011841944833
6,-0.6026658762008272,-0.006871085158157785,-0.04006445833023568,-0.597322745957742,0.013214147468758571,0.10640852419470323,-2.0284626854496564,-2.1393991473968596e-05,0.00046403913825284376,0.0,0.0,-0.026136739105191955,0.0,0.0,0.07604939929282996,-2.030501670351149,0.0,0.0,0.0,0.0,0.013927719225043728,0.0,0.0,0.03035912490187327,0.0020389849014925687,2.1393991473968596e-05,0.0,8.05359310728187,0.06608154432920943,0.0004507820415400204,0.0,0.0,0.0,0.0,0.0,0.0,0.06608154432920942,1.33560347134823,0.014590457193515705,0.0,0.0,0.0,0.0,0.0,0.0,0.00045078204154002033,0.014590457193515705,0.6180344478216819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.05359310728187,0.06608154432920943,0.0004507820415400204,0.0,0.0,0.0,0.0,0.0,0.0,0.06608154432920942,1.33560347134823,0.014590457193515705,0.0,0.0,0.0,0.0,0.0,0.0,0.00045078204154002033,0.014590457193515705,0.6180344478216819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182904569859027,0.002701927451795931,0.0029939583659773054,0.0,0.0,0.0,0.0,0.0,0.0,0.0027019274517959303,0.5369375236177859,0.19780465898653107,0.0,0.0,0.0,0.0,0.0,0.0,0.0029939583659773054,0.1978046589865311,7.76247128802178
7,-0.6030139710026585,-0.005585706284808627,-0.046288914801131106,-0.5966435301379145,0.01252646909088202,0.13178103921457418,-2.0297238127121995,2.364082507934031e-07,0.00045390193467688135,0.0,0.0,-0.05013583937018169,0.0,0.0,0.14746211142785698,-2.030501670351149,0.0,0.0,0.0,0.0,0.003846924569050586,0.0,0.0,0.0156810722132828,0.0007778576389494418,2.364082507934031e-07,0.0,9.063539738268895,0.06647265362222868,0.00045083627612229097,0.0,0.0,0.0,0.0,0.0,0.0,0.06647265362222866,1.3356181858050933,0.01458993445239938,0.0,0.0,0.0,0.0,0.0,0.0,0.000450836276122291,0.014589934452399382,0.6180340557275542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.063539738268895,0.06647265362222868,0.00045083627612229097,0.0,0.0,0.0,0.0,0.0,0.0,0.06647265362222866,1.3356181858050933,0.01458993445239938,0.0,0.0,0.0,0.0,0.0,0.0,0.000450836276122291,0.014589934452399382,0.6180340557275542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182904689378528,0.002720289880715051,0.0035931670142726082,0.0,0.0,0.0,0.0,0.0,0.0,0.002720289880715053,0.537773186886821,0.22508137810312856,0.0,0.0,0.0,0.0,0.0,0.0,0.0035931670142726104,0.22508137810312862,8.652804533600891
8,-0.6033258716352347,-0.0061627608183278315,-0.09099892109734856,-0.5959186554701813,0.01604149512232755,0.26687784608449105,-2.030204812890191,8.396557842354438e-06,0.0004449167788261086,0.0,0.0,-0.11863122348180824,0.0,0.0,0.3503722610454729,-2.030501670351149,0.0,0.0,0.0,0.0,0.027632302384459684,0.0,0.0,0.08349441496098187,0.0002968574609578667,8.396557842354438e-06,0.0,10.07352551694595,0.06666857724919287,0.00045084707594235027,0.0,0.0,0.0,0.0,0.0,0.0,0.06666857724919287,1.3356218454173467,0.014589829314486324,0.0,0.0,0.0,0.0,0.0,0.0,0.0004508470759423504,0.01458982931448633,0.6180339985218034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.07352551694595,0.06666857724919287,0.00045084707594235027,0.0,0.0,0.0,0.0,0.0,0.0,0.06666857724919287,1.3356218454173467,0.014589829314486324,0.0,0.0,0.0,0.0,0.0,0.0,0.0004508470759423504,0.01458982931448633,0.6180339985218034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182908037523671,0.0027381027049996703,0.004174565149225335,0.0,0.0,0.0,0.0,0.0,0.0,0.00273810270499967,0.5385830232056683,0.2515150766860115,0.0,0.0,0.0,0.0,0.0,0.0,0.004174565149225335,0.25151507668601153,9.515621333019274
9,-0.6035979937862876,-0.006465826045784331,-0.0416275481998692,-0.5952220794472437,0.017950624048729755,0.12225786541073033,-2.030388269848098,1.1361990953454699e-05,0.0004361826080390164,0.0,0.0,-0.011114361862262046,0.0,0.0,0.03287780244179268,-2.030501670351149,0.0,0.0,0.0,0.0,0.030513186337607152,0.0,0.0,0.08938006296893765,0.00011340050305097549,1.1361990953454699e-05,0.0,11.083530897129721,0.06676663077387114,0.00045084920300237133,0.0,0.0,0.0,0.0,0.0,0.0,0.06676663077387116,1.3356227565257286,0.014589808461196431,0.0,0.0,0.0,0.0,0.0,0.0,0.00045084920300237155,0.014589808461196436,0.6180339901755972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.083530897129721,0.06676663077387114,0.00045084920300237133,0.0,0.0,0.0,0.0,0.0,0.0,0.06676663077387116,1.3356227565257286,0.014589808461196431,0.0,0.0,0.0,0.0,0.0,0.0,0.00045084920300237155,0.014589808461196436,0.6180339901755972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182911741734408,0.002755312963839487,0.004736317474832193,0.0,0.0,0.0,0.0,0.0,0.0,0.002755312963839486,0.539365125181218,0.277043507639018,0.0,0.0,0.0,0.0,0.0,0.0,0.004736317474832193,0.2770435076390181,10.348889633082951
