t,Xx1,Xx2,Xx3,Xy1,Xy2,Xy3,Xt1,Xt2,Xt3,Zx1,Zx2,Zx3,Zy1,Zy2,Zy3,Zt1,Zt2,Zt3,Rx1,Rx2,Rx3,Ry1,Ry2,Ry3,Rt1,Rt2,Rt3,P11,P12,P13,P14,P15,P16,P17,P18,P19,P21,P22,P23,P24,P25,P26,P27,P28,P29,P31,P32,P33,P34,P35,P36,P37,P38,P39,P41,P42,P43,P44,P45,P46,P47,P48,P49,P51,P52,P53,P54,P55,P56,P57,P58,P59,P61,P62,P63,P64,P65,P66,P67,P68,P69,P71,P72,P73,P74,P75,P76,P77,P78,P79,P81,P82,P83,P84,P85,P86,P87,P88,P89,P91,P92,P93,P94,P95,P96,P97,P98,P99
0,59999.40000227139,-1.1546319456101628e-14,0.0,59999.40000227136,-1.1546319456101628e-14,0.0,-1.7467148312397346e-14,-1.7467148312397346e-14,-2.8127452999029534e-16,0.0,0.0,-0.09816227108240128,0.0,0.0,-0.08200141042470932,-2.030501670351149,0.0,0.0,0.0,0.0,0.09816227108240128,0.0,0.0,0.08200141042470932,2.030501670351149,0.0,0.0,-1.0368093311399949e+20,-360001530.6779691,-0.0024999997157619507,-1.0368093312232453e+20,-360001529.2557301,3.2637909314674957e-10,88.09087730612411,97.50087786680706,1.618046003640065e-10,-360001530.6779691,0.9937437505684761,-0.02512500000000001,-360001530.6497191,6.625177287098267e-10,-3.218557540404273e-29,2.985936916889527e-10,3.31267149609304e-10,-1.847201893976365e-29,-0.0024999997157619507,-0.02512500000000001,1.4975,3.36138713502007e-10,-3.218557540404273e-29,0.0,-3.5972082513590865e-29,-3.786533606836493e-29,0.0,-1.0368093312232453e+20,-360001530.6497191,3.36138713502007e-10,-1.0368093313064955e+20,-360001529.3417926,-0.002499999696321895,88.09087731338752,97.50087787482605,1.688944494396248e-10,-360001529.2557301,6.625177287098267e-10,-3.218557540404273e-29,-360001529.3417926,0.9937437506073563,-0.02512500000000001,3.131456059487028e-10,3.458190637432144e-10,-1.847201893976365e-29,3.2637909314674957e-10,-3.218557540404273e-29,0.0,-0.002499999696321895,-0.02512500000000001,1.4975,-3.5972082513590865e-29,-3.786533606836493e-29,0.0,88.09087730612411,2.985936916889527e-10,-3.5972082513590865e-29,88.09087731338751,3.131456059487028e-10,-3.5972082513590865e-29,1.500312694459304,0.01247658690488622,-0.0006238293452443147,97.50087786680706,3.31267149609304e-10,-3.786533606836493e-29,97.50087787482606,3.458190637432144e-10,-3.786533606836493e-29,0.01247658690488622,1.4978126944593042,-0.025015634722965183,1.618046003640065e-10,-1.847201893976365e-29,0.0,1.688944494396248e-10,-1.847201893976365e-29,0.0,-0.0006238293452443145,-0.025015634722965183,0.9987507817361483
1,59999.40000227139,-1.166864020760627e-14,-2.44641503009286e-15,59999.40000227136,-1.1546319456101628e-14,1.2351239521186192e-43,-1.7467148312397346e-14,-1.7467148312397346e-14,-2.8127452999029534e-16,0.0,0.0,-0.40043023228645325,0.0,0.0,-0.02753331884741783,-2.030501670351149,0.0,0.0,0.0,0.0,0.40043023228645325,0.0,0.0,0.02753331884741783,2.030501670351149,0.0,0.0,-1.0368093311399949e+20,-360001530.6779691,-0.0024999997157619507,-1.0368093312232453e+20,-360001529.2557301,3.2637909314674957e-10,88.09087730612411,97.50087786680706,1.618046003640065e-10,-360001530.6779691,0.9937437505684761,-0.02512500000000001,-360001530.6497191,6.625177287098267e-10,-3.092339795568911e-29,2.985936916889527e-10,3.31267149609304e-10,-1.903699177468614e-29,-0.0024999997157619507,-0.02512500000000001,1.4975,3.36138713502007e-10,-3.092339795568911e-29,2.524354896707238e-29,-2.106381777777633e-28,-2.7256740489551077e-28,-1.1299456698449763e-29,-1.0368093312232453e+20,-360001530.6497191,3.36138713502007e-10,-1.0368093313064955e+20,-360001529.3417926,-0.002499999696321895,88.09087731338752,97.50087787482605,1.688944494396248e-10,-360001529.2557301,6.625177287098267e-10,-3.092339795568911e-29,-360001529.3417926,0.9937437506073563,-0.02512500000000001,3.131456059487028e-10,3.458190637432144e-10,-1.847201893976365e-29,3.2637909314674957e-10,-3.092339795568911e-29,2.524354896707238e-29,-0.002499999696321895,-0.02512500000000001,1.4975,-3.5972082513590865e-29,-3.786533606836493e-29,5.704767769372612e-58,88.09087730612411,2.985936916889527e-10,-2.106381777777633e-28,88.09087731338751,3.131456059487028e-10,-3.5972082513590865e-29,1.500312694459304,0.01247658690488622,-0.0006238293452443147,97.50087786680706,3.31267149609304e-10,-2.725674048955108e-28,97.50087787482606,3.458190637432144e-10,-3.786533606836493e-29,0.01247658690488622,1.4978126944593042,-0.025015634722965183,1.618046003640065e-10,-1.903699177468614e-29,-1.1299456698449763e-29,1.688944494396248e-10,-1.847201893976365e-29,5.704767769372612e-58,-0.0006238293452443145,-0.025015634722965183,0.9987507817361483
2,59999.40000227139,-1.1668640207606449e-14,-2.4464150300964072e-15,59999.40000227136,-1.2050640771034748e-14,-1.0086426298662415e-14,-1.7467148312397346e-14,-1.7467148312397333e-14,-2.8127452999029475e-16,0.0,0.0,-0.1538274586200714,0.0,0.0,0.09217676520347595,-2.030501670351149,0.0,0.0,0.0,0.0,0.1538274586200714,0.0,0.0,0.09217676520347595,2.030501670351149,0.0,0.0,-1.0368093311399949e+20,-360001530.6779691,-0.0024999997157619507,-1.0368093312232453e+20,-360001529.2557301,3.2637909314674544e-10,88.09087730612411,97.50087786680706,1.618046003640065e-10,-360001530.6779691,0.9937437505684761,-0.02512500000000001,-360001530.6497191,6.625177287098267e-10,-4.757697028856066e-29,2.985936916889527e-10,3.31267149609304e-10,-1.9067739096199608e-29,-0.0024999997157619507,-0.02512500000000001,1.4975,3.36138713502007e-10,-4.757697028856113e-29,-3.0782789769036795e-28,-2.235828011864336e-28,-2.855120273051258e-28,-1.1914403128719176e-29,-1.0368093312232453e+20,-360001530.6497191,3.36138713502007e-10,-1.0368093313064955e+20,-360001529.3417926,-0.002499999696321895,88.09087731338752,97.50087787482605,1.688944494396248e-10,-360001529.2557301,6.625177287098267e-10,-4.757697028856113e-29,-360001529.3417926,0.9937437506073563,-0.02512500000000001,3.1314560824364884e-10,3.4581909445717875e-10,1.5299656193199962e-18,3.2637909314674544e-10,-4.7576970288560654e-29,-3.0782789769036795e-28,-0.002499999696321895,-0.02512500000000001,1.4975,4.589892088767807e-17,6.142792860978773e-16,3.0599312386769366e-17,88.09087730612411,2.985936916889527e-10,-2.235828011864336e-28,88.09087731338751,3.1314560824364884e-10,4.589892088767807e-17,1.500312694459304,0.01247658690488622,-0.0006238293452443147,97.50087786680706,3.31267149609304e-10,-2.855120273051258e-28,97.50087787482606,3.4581909445717875e-10,6.142792860978774e-16,0.01247658690488622,1.4978126944593042,-0.025015634722965183,1.618046003640065e-10,-1.9067739096199606e-29,-1.1914403128719176e-29,1.688944494396248e-10,1.5299656193199962e-18,3.059931238676937e-17,-0.0006238293452443145,-0.025015634722965183,0.9987507817361483
3,59999.40000227139,-1.1610224527246392e-14,-1.2781014228952818e-15,59999.40000227136,-1.2050640771020759e-14,-1.0086426298382618e-14,-1.7467148312397346e-14,-1.746714831239734e-14,-2.8127452999029504e-16,0.0,0.0,-0.06823474913835526,0.0,0.0,0.0628477931022644,-2.030501670351149,0.0,0.0,0.0,0.0,0.06823474913835526,0.0,0.0,0.0628477931022644,2.030501670351149,0.0,0.0,-1.0368093311399949e+20,-360001530.6779691,-0.0024999997157619507,-1.0368093312232453e+20,-360001529.2557301,3.2637909314674544e-10,88.09087730612411,97.50087786680706,1.618046003640065e-10,-360001530.6779691,0.9937437505684761,-0.02512500000000001,-360001530.6497191,6.625177287098267e-10,-1.1950426177725932e-29,2.9859368222702416e-10,3.3126702297742286e-10,-6.3079588987051004e-18,-0.0024999997157619507,-0.02512500000000001,1.4975,3.3613871350202487e-10,-1.1950426177728362e-29,4.047029845263265e-28,-1.8923857032927673e-16,-2.5326376227302583e-15,-1.2615917797373256e-16,-1.0368093312232453e+20,-360001530.6497191,3.361387135020248e-10,-1.0368093313064955e+20,-360001529.3417926,-0.002499999696321895,88.09087731338752,97.50087787482605,1.688944494396248e-10,-360001529.2557301,6.625177287098267e-10,-1.1950426177728363e-29,-360001529.3417926,0.9937437506073563,-0.02512500000000001,3.1314560824364884e-10,3.4581909445717875e-10,1.5299656193229544e-18,3.2637909314674544e-10,-1.1950426177725934e-29,4.047029845263265e-28,-0.002499999696321895,-0.02512500000000001,1.4975,4.589892088780872e-17,6.142792860990672e-16,3.059931238682853e-17,88.09087730612411,2.9859368222702416e-10,-1.8923857032927673e-16,88.09087731338751,3.1314560824364884e-10,4.589892088780873e-17,1.500312694459304,0.01247658690488622,-0.0006238293452443147,97.50087786680706,3.3126702297742286e-10,-2.5326376227302583e-15,97.50087787482606,3.4581909445717875e-10,6.142792860990672e-16,0.01247658690488622,1.4978126944593042,-0.025015634722965183,1.618046003640065e-10,-6.307958898705099e-18,-1.2615917797373253e-16,1.688944494396248e-10,1.5299656193229544e-18,3.059931238682853e-17,-0.0006238293452443145,-0.025015634722965183,0.9987507817361483
4,59999.40000227139,-1.1610224526085012e-14,-1.2781013996676763e-15,59999.40000227136,-1.1877266750760267e-14,-6.618945893172762e-15,-1.7467148312397346e-14,-1.746714831239735e-14,-2.8127452999029544e-16,0.0,0.0,-0.09277531504631042,0.0,0.0,-0.11372458189725876,-2.030501670351149,0.0,0.0,0.0,0.0,0.09277531504631042,0.0,0.0,0.11372458189725876,2.030501670351149,0.0,0.0,-1.0368093311399949e+20,-360001530.6779691,-0.0024999997157619507,-1.0368093312232453e+20,-360001529.2557301,3.263790931467474e-10,88.09087730612411,97.50087786680706,1.618046003640065e-10,-360001530.6779691,0.9937437505684761,-0.02512500000000001,-360001530.6497191,6.625177287098267e-10,-3.043685891615302e-29,2.9859368222702416e-10,3.3126702297742286e-10,-6.307958898530121e-18,-0.0024999997157619507,-0.02512500000000001,1.4975,3.3613871350202487e-10,-3.0436858916155225e-29,3.497432975778926e-29,-1.8923857032405223e-16,-2.532637622660006e-15,-1.2615917797023297e-16,-1.0368093312232453e+20,-360001530.6497191,3.361387135020248e-10,-1.0368093313064955e+20,-360001529.3417926,-0.002499999696321895,88.09087731338752,97.50087787482605,1.688944494396248e-10,-360001529.2557301,6.625177287098267e-10,-3.0436858916155225e-29,-360001529.3417926,0.9937437506073563,-0.02512500000000001,3.13145607147671e-10,3.458190797893722e-10,7.993129583334398e-19,3.263790931467474e-10,-3.043685891615302e-29,3.497432975778926e-29,-0.002499999696321895,-0.02512500000000001,1.4975,2.3979363834513258e-17,3.2092315488598704e-16,1.5986259167038233e-17,88.09087730612411,2.9859368222702416e-10,-1.8923857032405223e-16,88.09087731338751,3.1314560714767103e-10,2.3979363834513255e-17,1.500312694459304,0.01247658690488622,-0.0006238293452443147,97.50087786680706,3.3126702297742286e-10,-2.5326376226600063e-15,97.50087787482606,3.4581907978937214e-10,3.20923154885987e-16,0.01247658690488622,1.4978126944593042,-0.025015634722965183,1.618046003640065e-10,-6.30795889853012e-18,-1.2615917797023297e-16,1.688944494396248e-10,7.993129583334397e-19,1.598625916703823e-17,-0.0006238293452443145,-0.025015634722965183,0.9987507817361483
5,59999.40000227139,-1.1663300438176242e-14,-2.3396196414922775e-15,59999.40000227136,-1.1877266654354587e-14,-6.618943965059165e-15,-1.7467148312397346e-14,-1.746714831239735e-14,-2.8127452999029554e-16,0.0,0.0,-0.13587094843387604,0.0,0.0,-0.09696516394615173,-2.030501670351149,0.0,0.0,0.0,0.0,0.13587094843387604,0.0,0.0,0.09696516394615173,2.030501670351149,0.0,0.0,-1.0368093311399949e+20,-360001530.6779691,-0.0024999997157619507,-1.0368093312232453e+20,-360001529.2557301,3.263790931467474e-10,88.09087730612411,97.50087786680706,1.618046003640065e-10,-360001530.6779691,0.9937437505684761,-0.02512500000000001,-360001530.6497191,6.625177287098267e-10,-3.0331675076520146e-29,2.985936854798167e-10,3.312670665105389e-10,-4.139428317885421e-18,-0.0024999997157619507,-0.02512500000000001,1.4975,3.361387135020187e-10,-3.0331675076521677e-29,3.707800655044677e-29,-1.2418272050183634e-16,-1.6619753018060538e-15,-8.278856635733896e-17,-1.0368093312232453e+20,-360001530.6497191,3.361387135020187e-10,-1.0368093313064955e+20,-360001529.3417926,-0.002499999696321895,88.09087731338752,97.50087787482605,1.688944494396248e-10,-360001529.2557301,6.625177287098267e-10,-3.0331675076521677e-29,-360001529.3417926,0.9937437506073563,-0.02512500000000001,3.13145607147671e-10,3.458190797893719e-10,7.993129438070934e-19,3.263790931467474e-10,-3.0331675076520146e-29,3.707800655044677e-29,-0.002499999696321895,-0.02512500000000001,1.4975,2.397936339882998e-17,3.209231490536824e-16,1.5986258876511307e-17,88.09087730612411,2.9859368547981664e-10,-1.2418272050183634e-16,88.09087731338751,3.13145607147671e-10,2.3979363398829984e-17,1.500312694459304,0.01247658690488622,-0.0006238293452443147,97.50087786680706,3.312670665105389e-10,-1.6619753018060536e-15,97.50087787482606,3.458190797893719e-10,3.2092314905368243e-16,0.01247658690488622,1.4978126944593042,-0.025015634722965183,1.618046003640065e-10,-4.13942831788542e-18,-8.278856635733894e-17,1.688944494396248e-10,7.9931294380709335e-19,1.5986258876511307e-17,-0.0006238293452443145,-0.025015634722965183,0.9987507817361483
6,59999.40000227139,-1.1663308440791269e-14,-2.3397796937928054e-15,59999.40000227136,-1.1783351166733086e-14,-4.7406342126291794e-15,-1.7467148312397346e-14,-1.746714831239735e-14,-2.8127452999029544e-16,0.0,0.0,-0.0011971008498221636,0.0,0.0,0.02274491637945175,-2.030501670351149,0.0,0.0,0.0,0.0,0.0011971008498221636,0.0,0.0,0.02274491637945175,2.030501670351149,0.0,0.0,-1.0368093311399949e+20,-360001530.6779691,-0.0024999997157619507,-1.0368093312232453e+20,-360001529.2557301,3.263790931467456e-10,88.09087730612411,97.50087786680706,1.618046003640065e-10,-360001530.6779691,0.9937437505684761,-0.02512500000000001,-360001530.6497191,6.625177287098267e-10,-2.634815395338384e-29,2.9859368547981845e-10,3.312670665105631e-10,-4.1394271120601965e-18,-0.0024999997157619507,-0.02512500000000001,1.4975,3.361387135020187e-10,-2.634815395338558e-29,1.167484290131687e-28,-1.241826843270929e-16,-1.6619748176687298e-15,-8.278854224083447e-17,-1.0368093312232453e+20,-360001530.6497191,3.361387135020187e-10,-1.0368093313064955e+20,-360001529.3417926,-0.002499999696321895,88.09087731338752,97.50087787482605,1.688944494396248e-10,-360001529.2557301,6.625177287098267e-10,-2.634815395338558e-29,-360001529.3417926,0.9937437506073563,-0.02512500000000001,3.131456081434657e-10,3.4581909311639653e-10,1.463176758537521e-18,3.263790931467456e-10,-2.634815395338384e-29,1.167484290131687e-28,-0.002499999696321895,-0.02512500000000001,1.4975,4.3895257146531014e-17,5.874636418754515e-16,2.9263535171119866e-17,88.09087730612411,2.9859368547981845e-10,-1.2418268432709293e-16,88.09087731338751,3.131456081434657e-10,4.3895257146531026e-17,1.500312694459304,0.01247658690488622,-0.0006238293452443147,97.50087786680706,3.312670665105631e-10,-1.66197481766873e-15,97.50087787482606,3.4581909311639653e-10,5.874636418754515e-16,0.01247658690488622,1.4978126944593042,-0.025015634722965183,1.618046003640065e-10,-4.139427112060196e-18,-8.278854224083446e-17,1.688944494396248e-10,1.463176758537521e-18,2.9263535171119866e-17,-0.0006238293452443145,-0.025015634722965183,0.9987507817361483
7,59999.40000227139,-1.2159938528591838e-14,-1.2272381449804187e-14,59999.40000227136,-1.1782686871351515e-14,-4.72734830499772e-15,-1.746714831239735e-14,-1.746714831239737e-14,-2.812745299902965e-16,0.0,0.0,-0.3471592366695404,0.0,0.0,0.03411737456917763,-2.030501670351149,0.0,0.0,0.0,0.0,0.3471592366695404,0.0,0.0,0.03411737456917763,2.030501670351149,0.0,0.0,-1.0368093311399949e+20,-360001530.6779691,-0.0024999997157619507,-1.0368093312232453e+20,-360001529.2557301,3.263790931467456e-10,88.09087730612411,97.50087786680706,1.618046003640065e-10,-360001530.6779691,0.9937437505684761,-0.02512500000000001,-360001530.6497191,6.625177287098267e-10,-2.5338742772964686e-29,2.9859368724183325e-10,3.3126709009214595e-10,-2.9647493454773283e-18,-0.0024999997157619507,-0.02512500000000001,1.4975,3.361387135020154e-10,-2.533874277296606e-29,1.369366526215518e-28,-8.894238794693372e-17,-1.1903431608975042e-15,-5.929498690917712e-17,-1.0368093312232453e+20,-360001530.6497191,3.3613871350201536e-10,-1.0368093313064955e+20,-360001529.3417926,-0.002499999696321895,88.09087731338752,97.50087787482605,1.688944494396248e-10,-360001529.2557301,6.625177287098267e-10,-2.533874277296606e-29,-360001529.3417926,0.9937437506073563,-0.02512500000000001,3.131456081436158e-10,3.458190931184059e-10,1.4632768537844117e-18,3.263790931467456e-10,-2.5338742772964686e-29,1.369366526215518e-28,-0.002499999696321895,-0.02512500000000001,1.4975,4.3898260000680634e-17,5.875038299921086e-16,2.926553707605768e-17,88.09087730612411,2.985936872418333e-10,-8.894238794693372e-17,88.09087731338751,3.131456081436158e-10,4.389826000068064e-17,1.500312694459304,0.01247658690488622,-0.0006238293452443147,97.50087786680706,3.3126709009214595e-10,-1.1903431608975044e-15,97.50087787482606,3.458190931184059e-10,5.875038299921087e-16,0.01247658690488622,1.4978126944593042,-0.025015634722965183,1.618046003640065e-10,-2.9647493454773294e-18,-5.929498690917713e-17,1.688944494396248e-10,1.4632768537844119e-18,2.926553707605768e-17,-0.0006238293452443145,-0.025015634722965183,0.9987507817361483
8,59999.40000227139,-1.2104795509412868e-14,-1.1169521066224798e-14,59999.40000227136,-1.2034174693810387e-14,-9.757104754175177e-15,-1.7467148312397346e-14,-1.746714831239731e-14,-2.8127452999029366e-16,0.0,0.0,-0.17717091739177704,0.0,0.0,-0.009576806798577309,-2.030501670351149,0.0,0.0,0.0,0.0,0.17717091739177704,0.0,0.0,0.009576806798577309,2.030501670351149,0.0,0.0,-1.0368093311399949e+20,-360001530.6779691,-0.0024999997157619507,-1.0368093312232453e+20,-360001529.2557301,3.263790931467288e-10,88.09087730612411,97.50087786680706,1.618046003640065e-10,-360001530.6779691,0.9937437505684761,-0.02512500000000001,-360001530.6497191,6.625177287098267e-10,-6.173255397684972e-29,2.985936872542966e-10,3.312670902589463e-10,-2.9564404601712616e-18,-0.0024999997157619507,-0.02512500000000001,1.4975,3.3613871350201536e-10,-6.173255397685303e-29,-5.909395714561873e-28,-8.869312164704138e-17,-1.187007153820257e-15,-5.912880920305579e-17,-1.0368093312232453e+20,-360001530.6497191,3.3613871350201536e-10,-1.0368093313064955e+20,-360001529.3417926,-0.002499999696321895,88.09087731338752,97.50087787482605,1.688944494396248e-10,-360001529.2557301,6.625177287098267e-10,-6.173255397685302e-29,-360001529.3417926,0.9937437506073563,-0.02512500000000001,3.1314561746124376e-10,3.458192178190687e-10,7.675035288210478e-18,3.263790931467288e-10,-6.173255397684972e-29,-5.909395714561873e-28,-0.002499999696321895,-0.02512500000000001,1.4975,2.3025081940083687e-16,3.0815170864219795e-15,1.5350070576457898e-16,88.09087730612411,2.985936872542966e-10,-8.86931216470414e-17,88.09087731338751,3.1314561746124376e-10,2.3025081940083687e-16,1.500312694459304,0.01247658690488622,-0.0006238293452443147,97.50087786680706,3.312670902589463e-10,-1.1870071538202568e-15,97.50087787482606,3.458192178190687e-10,3.0815170864219803e-15,0.01247658690488622,1.4978126944593042,-0.025015634722965183,1.618046003640065e-10,-2.9564404601712616e-18,-5.912880920305579e-17,1.688944494396248e-10,7.675035288210476e-18,1.5350070576457898e-16,-0.0006238293452443145,-0.025015634722965183,0.9987507817361483
9,59999.40000227139,-1.1664464409614668e-14,-2.3628990702608128e-15,59999.40000227136,-1.1720020744606817e-14,-3.4740257701037835e-15,-1.7467148312397346e-14,-1.746714831239734e-14,-2.8127452999029495e-16,0.0,0.0,-0.018555063754320145,0.0,0.0,-0.028730420395731926,-2.030501670351149,0.0,0.0,0.0,0.0,0.018555063754320145,0.0,0.0,0.028730420395731926,2.030501670351149,0.0,0.0,-1.0368093311399949e+20,-360001530.6779691,-0.0024999997157619507,-1.0368093312232453e+20,-360001529.2557301,3.2637909314673065e-10,88.09087730612411,97.50087786680706,1.618046003640065e-10,-360001530.6779691,0.9937437505684761,-0.02512500000000001,-360001530.6497191,6.625177287098267e-10,-3.640368306045645e-29,2.9859368253595585e-10,3.312670271119503e-10,-6.102004212122848e-18,-0.0024999997157619507,-0.02512500000000001,1.4975,3.3613871350202425e-10,-3.6403683060460513e-29,-8.436215312831776e-29,-1.8305993615175962e-16,-2.449947073189037e-15,-1.220400842420875e-16,-1.0368093312232453e+20,-360001530.6497191,3.3613871350202425e-10,-1.0368093313064955e+20,-360001529.3417926,-0.002499999696321895,88.09087731338752,97.50087787482605,1.688944494396248e-10,-360001529.2557301,6.625177287098267e-10,-3.6403683060460513e-29,-360001529.3417926,0.9937437506073563,-0.02512500000000001,3.1314561642666664e-10,3.4581920397300665e-10,6.98531647555951e-18,3.2637909314673065e-10,-3.6403683060456455e-29,-8.436215312831776e-29,-0.002499999696321895,-0.02512500000000001,1.4975,2.095592765211687e-16,2.804595844213448e-15,1.3970632951155961e-16,88.09087730612411,2.9859368253595585e-10,-1.830599361517596e-16,88.09087731338751,3.1314561642666664e-10,2.095592765211687e-16,1.500312694459304,0.01247658690488622,-0.0006238293452443147,97.50087786680706,3.312670271119503e-10,-2.449947073189037e-15,97.50087787482606,3.4581920397300665e-10,2.804595844213448e-15,0.01247658690488622,1.4978126944593042,-0.025015634722965183,1.618046003640065e-10,-6.102004212122846e-18,-1.220400842420875e-16,1.688944494396248e-10,6.985316475559508e-18,1.397063295115596e-16,-0.0006238293452443145,-0.025015634722965183,0.9987507817361483
